,owner,culture,religion,hre,base_tax,base_production,trade_goods,base_manpower,capital,is_city,center_of_trade,name,id,trade_node
780,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific1,no,0,EasternPacific1,1700,
781,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific2,no,0,EasternPacific2,1701,
782,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific3,no,0,EasternPacific3,1702,
783,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific4,no,0,EasternPacific4,1703,
784,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific5,no,0,EasternPacific5,1704,
785,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific6,no,0,EasternPacific6,1705,
786,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific7,no,0,EasternPacific7,1706,
787,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific8,no,0,EasternPacific8,1707,
788,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific9,no,0,EasternPacific9,1708,
789,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific10,no,0,EasternPacific10,1709,
790,BRI,breton,catholic,no,3,3,fish,3,Vannes,yes,0,Vannetais,171,bordeaux
791,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific11,no,0,EasternPacific11,1710,
792,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific12,no,0,EasternPacific12,1711,
793,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific13,no,0,EasternPacific13,1712,
794,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific14,no,0,EasternPacific14,1713,
795,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific15,no,0,EasternPacific15,1714,
796,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific16,no,0,EasternPacific16,1715,
797,Unowned,Unowned,Unowned,no,0,0,,0,EasternPacific17,no,0,EasternPacific17,1716,
798,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific1,no,0,SouthernPacific1,1717,
799,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific2,no,0,SouthernPacific2,1718,
800,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific3,no,0,SouthernPacific3,1719,
801,BRI,breton,catholic,no,4,4,salt,4,Nantes,yes,0,Vendee,172,bordeaux
802,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific4,no,0,SouthernPacific4,1720,
803,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific5,no,0,SouthernPacific5,1721,
804,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific6,no,0,SouthernPacific6,1722,
805,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific7,no,0,SouthernPacific7,1723,
806,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific8,no,0,SouthernPacific8,1724,
807,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific9,no,0,SouthernPacific9,1725,
808,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific10,no,0,SouthernPacific10,1726,
809,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific11,no,0,SouthernPacific11,1727,
810,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific12,no,0,SouthernPacific12,1728,
811,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific13,no,0,SouthernPacific13,1729,
812,ENG,basque,catholic,no,3,3,wine,4,Bayonne,yes,0,Labourd,173,bordeaux
813,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific14,no,0,SouthernPacific14,1730,
814,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific15,no,0,SouthernPacific15,1731,
815,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific16,no,0,SouthernPacific16,1732,
816,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific17,no,0,SouthernPacific17,1733,
817,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific18,no,0,SouthernPacific18,1734,
818,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific19,no,0,SouthernPacific19,1735,
819,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific20,no,0,SouthernPacific20,1736,
820,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific22,no,0,SouthernPacific22,1737,
821,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific23,no,0,SouthernPacific23,1738,
822,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific24,no,0,SouthernPacific24,1739,
823,ENG,gascon,catholic,no,8,8,wine,5,Bordeaux,yes,1,Gascogne,174,bordeaux
824,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific25,no,0,SouthernPacific25,1740,
825,Unowned,Unowned,Unowned,no,0,0,,0,SouthernPacific26,no,0,SouthernPacific26,1741,
826,GEL,flemish,catholic,yes,5,5,cloth,4,Roermond,yes,0,Limburg,1742,english_channel
827,BUR,wallonian,catholic,yes,5,5,grain,2,Cambray,yes,0,Cambray,1743,english_channel
828,BRB,flemish,catholic,yes,8,8,glass,3,Antwerp,yes,2,Antwerpen,1744,english_channel
829,SPA,castillian,catholic,no,3,3,naval_supplies,3,Santander,yes,1,Cantabria,1745,sevilla
830,SPA,castillian,catholic,no,3,3,cloth,2,Burgos,yes,1,Burgos,1746,sevilla
831,SPA,leonese,catholic,no,2,2,wool,2,Caceres,yes,0,Caceres,1747,sevilla
832,SPA,andalucian,catholic,no,3,4,wool,2,Jaén,yes,0,LaMancha,1748,sevilla
833,SPA,andalucian,catholic,no,5,4,naval_supplies,3,Cadiz,yes,1,Cadiz,1749,sevilla
834,FRA,gascon,catholic,no,5,5,wool,5,Auch,yes,0,Armagnac,175,bordeaux
835,SPA,catalan,catholic,no,3,3,salt,3,Alàcant,yes,0,Alicante,1750,valencia
836,MOR,moroccan,sunni,no,3,3,fish,1,Cebta,yes,0,Ceuta,1751,sevilla
837,MOS,russian,orthodox,no,5,5,grain,3,Rzhev,yes,0,Rzhev,1752,
838,MOS,russian,orthodox,no,3,3,cloth,3,Kostroma,yes,0,Kostroma,1753,
839,MOS,russian,orthodox,no,4,4,grain,4,Murom,yes,0,Orel,1754,
840,Unowned,russian,orthodox,no,2,2,fur,1,Ustyug,yes,0,Ustyug,1755,white_sea
841,MOL,romanian,orthodox,no,5,4,wool,2,Kilia,yes,0,Budjak,1756,crimea
842,PAL,bavarian,catholic,yes,3,3,iron,3,Oberpfalz,yes,0,Oberpfalz,1757,
843,BRU,lower_saxon,catholic,yes,4,4,cloth,4,Hannover,yes,0,Hannover,1758,
844,BRA,saxon,catholic,yes,3,3,wool,2,Potsdam,yes,0,Potsdam,1759,
845,FRA,gascon,catholic,no,4,4,wool,4,Pau,yes,0,Bearn,176,bordeaux
846,TRI,hessian,catholic,yes,4,4,grain,2,Koblenz,yes,0,Koblenz,1760,
847,PAL,hessian,catholic,yes,4,4,wine,2,Worms,yes,0,Pfalz,1761,
848,HES,hessian,catholic,yes,5,5,glass,3,Kassel,yes,0,Kassel,1762,
849,BOH,sorbian,catholic,yes,2,2,livestock,1,Chotebuz,yes,0,Niederlausitz,1763,
850,TUR,bulgarian,orthodox,no,2,2,salt,1,Burgas,yes,0,Burgas,1764,constantinople
851,TUR,bulgarian,orthodox,no,4,4,iron,2,Sofia,yes,0,Nis,1765,constantinople
852,SER,serbian,orthodox,no,3,3,,2,Pristina,yes,0,Kosovo,1766,ragusa
853,CRO,croatian,catholic,no,2,2,livestock,2,Osijek,yes,0,Veroce,1767,pest
854,HAB,austrian,catholic,yes,4,3,iron,2,Lienz,yes,0,Lienz,1768,
855,HAB,slovene,catholic,yes,4,4,iron,2,Gorizia,yes,0,Gorz,1769,venice
856,ENG,cosmopolitan_french,catholic,no,6,6,cloth,4,Maine,yes,0,Maine,177,bordeaux
857,HAB,austrian,catholic,yes,3,3,wine,4,Krems,yes,0,Ostmarch,1770,
858,BOH,czech,catholic,yes,4,5,glass,2,Litomerice,yes,0,Erz,1771,
859,HUN,slovak,catholic,no,5,5,grain,3,Pressburg,yes,1,Pozsony,1772,pest
860,ACH,greek,orthodox,no,2,3,wine,1,Nafplio,yes,0,Achaea,1773,ragusa
861,VEN,venetian,catholic,no,7,7,paper,4,Treviso,no,0,Treviso,1774,venice
862,SHL,lower_saxon,catholic,yes,4,4,livestock,2,Kiel,yes,1,Holstein,1775,
863,NOV,karelian,orthodox,no,1,1,salt,1,Kem,yes,0,Karelia,1776,white_sea
864,NOV,sapmi,orthodox,no,1,1,fur,1,Kola,yes,0,Kola,1777,white_sea
865,MOS,mishary,sunni,no,4,4,livestock,5,Kasimov,yes,0,Kasimov,1778,
866,Unowned,Unowned,Unowned,no,0,0,,0,RubalKhali,no,0,RubalKhali,1779,gulf_of_aden
867,PRO,cosmopolitan_french,catholic,no,5,5,cloth,5,Angers,yes,0,Anjou,178,bordeaux
868,RUS,samoyed,orthodox,no,2,2,fur,1,Yarensk,yes,0,Komi,1780,siberia
869,Unowned,Unowned,Unowned,no,0,0,,0,WesternSiberia,no,0,WesternSiberia,1781,siberia
870,Unowned,Unowned,Unowned,no,0,0,,0,CentralSiberia,no,0,CentralSiberia,1782,siberia
871,Unowned,Unowned,Unowned,no,0,0,,0,EasternSiberia,no,0,EasternSiberia,1783,girin
872,Unowned,Unowned,Unowned,no,0,0,,0,TiamShan,no,0,TiamShan,1784,yumen
873,Unowned,Unowned,Unowned,no,0,0,,0,Karakoram,no,0,Karakoram,1785,lahore
874,Unowned,Unowned,Unowned,no,0,0,,0,TaklaMakan,no,0,TaklaMakan,1786,yumen
875,Unowned,Unowned,Unowned,no,0,0,,0,Himalaya,no,0,Himalaya,1787,lahore
876,Unowned,Unowned,Unowned,no,0,0,,0,Arunachal,no,0,Arunachal,1788,
877,Unowned,Unowned,Unowned,no,0,0,,0,Papua,no,0,Papua,1789,the_moluccas
878,BER,cosmopolitan_french,catholic,no,4,4,wine,4,Bourges,yes,0,Berry,179,champagne
879,Unowned,Unowned,Unowned,no,0,0,,0,Outback,no,0,Outback,1790,australia
880,Unowned,Unowned,Unowned,no,0,0,,0,Outback,no,0,Outback,1791,australia
881,MIR,madagasque,Unowned,no,3,3,grain,2,Alasora,yes,0,Antananarivo,1792,zanzibar
882,Unowned,Unowned,Unowned,no,0,0,,0,ElDjouf,no,0,ElDjouf,1793,ivory_coast
883,Unowned,Unowned,Unowned,no,0,0,,0,CentralSahara,no,0,CentralSahara,1794,
884,Unowned,Unowned,Unowned,no,0,0,,0,EastSahara,no,0,EastSahara,1795,
885,Unowned,Unowned,Unowned,no,0,0,,0,NorthernCongoBasin,no,0,NorthernCongoBasin,1797,
886,Unowned,Unowned,Unowned,no,0,0,,0,Uganda,no,0,Uganda,1798,african_great_lakes
887,Unowned,Unowned,Unowned,no,0,0,,0,Malawi,no,0,Malawi,1799,african_great_lakes
888,SWE,sapmi,catholic,no,1,1,unknown,1,Arvidsjaur,yes,0,Lappland,18,baltic_sea
889,FRA,cosmopolitan_french,catholic,no,4,4,livestock,4,Poitiers,yes,0,Poitou,180,bordeaux
890,Unowned,nguni,Unowned,no,1,1,unknown,1,Gaza,no,0,Limpopo,1800,cape_of_good_hope
891,Unowned,Unowned,Unowned,no,0,0,,0,Kalahari,no,0,Kalahari,1801,
892,Unowned,Unowned,Unowned,no,0,0,,0,WesternAmazonas,no,0,WesternAmazonas,1802,amazonas_node
893,Unowned,Unowned,Unowned,no,0,0,,0,EasternAmazonas,no,0,EasternAmazonas,1803,amazonas_node
894,Unowned,Unowned,Unowned,no,0,0,,0,Greenland,no,0,Greenland,1804,st_lawrence
895,Unowned,Unowned,Unowned,no,0,0,,0,Quebec,no,0,Quebec,1805,james_bay
896,Unowned,Unowned,Unowned,no,0,0,,0,Weagamow,no,0,Weagamow,1806,james_bay
897,Unowned,Unowned,Unowned,no,0,0,,0,Baffin,no,0,Baffin,1807,james_bay
898,Unowned,Unowned,Unowned,no,0,0,,0,GreatBasin,no,0,GreatBasin,1808,california
899,COM,shoshone,totemism,no,1,1,unknown,1,Cheyenne,yes,0,Cheyenne,1809,mississippi_river
900,NEV,wallonian,catholic,no,6,6,cloth,2,Rethel,yes,0,Rethel,181,champagne
901,Unowned,Unowned,Unowned,no,0,0,,0,Alaska,no,0,Alaska,1810,
902,Unowned,Unowned,Unowned,no,0,0,,0,Nunavut,no,0,Nunavut,1811,james_bay
903,Unowned,Unowned,Unowned,no,0,0,,0,NorthwestTerretories,no,0,NorthwestTerretories,1812,james_bay
904,GBR,plains_cree,totemism,no,1,1,unknown,1,Saskatchewan,no,0,Saskatchewan,1813,james_bay
905,Unowned,Unowned,Unowned,no,0,0,,0,Columbia,no,0,Columbia,1814,
906,PEG,mon,buddhism,no,3,3,grain,2,Pathein,yes,0,Pathein,1815,burma
907,MNG,chihan,confucianism,no,13,13,grain,5,Beijing,yes,2,Beijing,1816,beijing
908,LNA,northern_thai,buddhism,no,3,3,ivory,2,Nan,yes,0,Nan,1817,gulf_of_siam
909,OUC,kyushuan,shinto,no,5,3,chinaware,2,Hakata,yes,2,Chikuzen,1818,nippon
910,HSK,japanese,shinto,no,2,2,naval_supplies,3,Nakamura,yes,0,Tosa,1819,nippon
911,FRA,cosmopolitan_french,catholic,no,5,5,livestock,4,Soissons,yes,0,Vermandois,182,champagne
912,HSK,japanese,shinto,no,3,3,fish,2,Tokushima,yes,0,Awa,1820,nippon
913,MNG,jianghuai,confucianism,no,15,15,silk,3,Nanjing,yes,0,Nanjing,1821,hangzhou
914,MNG,wu,confucianism,no,9,9,silk,2,Suzhou,yes,0,Suzhou,1822,hangzhou
915,KHM,khmer,animism,no,3,3,grain,2,StungTreng,yes,0,StungTreng,1823,gulf_of_siam
916,MNG,wu,confucianism,no,3,3,chinaware,2,Wenzhou,yes,0,Wenzhou,1824,hangzhou
917,HSK,japanese,shinto,no,4,4,grain,3,Tomo,yes,0,Aki,1825,nippon
918,CRO,croatian,catholic,no,3,2,fish,1,Senj,yes,0,Lika,1826,ragusa
919,SER,serbian,orthodox,no,3,3,livestock,1,Trgoviste,yes,0,Raska,1827,ragusa
920,HUN,bosnian,catholic,no,2,2,livestock,1,Jajce,yes,0,DonjiKrajii,1828,ragusa
921,MNG,chimin,confucianism,no,8,8,tea,3,Quanzhou,yes,0,Quanzhou,1829,hangzhou
922,FRA,cosmopolitan_french,catholic,no,8,8,paper,7,Paris,yes,2,Ile,183,champagne
923,YMN,japanese,shinto,no,2,2,grain,2,Tottori,yes,0,Tajima,1830,nippon
924,HRZ,bosnian,orthodox,no,2,3,wool,2,Travunia,yes,0,Travunia,1831,ragusa
925,TTI,japanese,shinto,no,4,3,tea,2,Nara,yes,0,Yamato,1832,nippon
926,MNG,gan,confucianism,no,4,4,cloth,2,Ji'an,yes,0,Ji'an,1833,hangzhou
927,LIV,estonian,catholic,no,3,3,naval_supplies,2,Dorpat,yes,0,Dorpat,1834,baltic_sea
928,TKI,togoku,shinto,no,4,4,paper,3,Inabayama,yes,0,Mino,1835,nippon
929,MNG,zhongyuan,confucianism,no,5,5,chinaware,3,Luoyang,yes,0,Luoyang,1836,xian
930,HTK,togoku,shinto,no,3,3,grain,3,Kanazawa,yes,0,Etchu,1837,nippon
931,MNG,jianghuai,confucianism,no,4,4,grain,3,Hefei,yes,0,Hefei,1838,hangzhou
932,IMG,togoku,shinto,no,4,4,tea,3,Sunpu,yes,0,Suruga,1839,nippon
933,FRA,cosmopolitan_french,catholic,no,6,6,grain,5,Orléans,yes,1,Orleanais,184,champagne
934,MNG,zhuang,confucianism,no,2,2,silk,2,Guilin,yes,0,Guilin,1840,canton
935,TEU,prussian,catholic,no,4,4,naval_supplies,3,Marienburg,yes,0,Marienburg,1841,baltic_sea
936,LIV,estonian,catholic,no,2,2,grain,1,Narva,yes,0,Narva,1842,baltic_sea
937,UES,togoku,shinto,no,2,3,livestock,2,Mayabashi,yes,0,Kozuke,1843,nippon
938,MPH,lao,buddhism,no,2,2,grain,2,Xiankhouang,yes,0,Xiankhouang,1844,gulf_of_siam
939,KOR,korean,confucianism,no,3,3,grain,3,Pyeongyang,yes,1,SouthPyongan,1845,nippon
940,TUR,turkish,sunni,no,4,4,,3,Amasya,yes,0,Amasya,1846,constantinople
941,ANU,ainu,animism,no,1,1,fish,1,Shiribeshi,yes,0,Shiribeshi,1847,nippon
942,KAR,turkish,sunni,no,3,3,grain,2,Burdur,yes,0,Hamid,1848,constantinople
943,SYR,al_suryah_arabic,sunni,no,4,4,cotton,2,Hama,yes,0,Hama,1849,aleppo
944,FRA,cosmopolitan_french,catholic,no,5,5,paper,5,Nemours,yes,0,Othe,185,champagne
945,NHX,manchu,tengri_pagan_reformed,no,3,3,fish,3,Yaran,yes,0,Yaran,1850,girin
946,POR,portugese,catholic,no,4,4,grain,3,Coimbra,yes,0,Ribatejo,1851,sevilla
947,ANU,ainu,animism,no,1,1,fish,1,Tokachi,yes,0,Tokachi,1852,nippon
948,TUR,greek,orthodox,no,3,2,wine,2,Kastoria,yes,0,Kastoria,1853,ragusa
949,MAM,al_suryah_arabic,sunni,no,3,3,sugar,3,Nablus,yes,0,Nablus,1854,alexandria
950,SYR,al_suryah_arabic,shiite,no,5,5,naval_supplies,3,Sayda,yes,0,Sidon,1855,aleppo
951,GEO,georgian,orthodox,no,2,2,wine,2,Sukhumi,yes,0,Abkhazia,1856,crimea
952,LAU,lower_saxon,catholic,yes,2,2,salt,1,Lauenburg,yes,0,Lauenburg,1857,
953,STE,pommeranian,catholic,yes,5,4,naval_supplies,3,Stettin,yes,0,Stettin,1858,
954,TEU,polish,catholic,no,4,4,grain,2,Torun,yes,1,Torun,1859,krakow
955,FRA,cosmopolitan_french,catholic,no,6,6,wine,4,Reims,yes,2,Champagne,186,champagne
956,ENG,english,catholic,no,4,4,iron,2,Norwich,yes,0,Norfolk,1860,english_channel
957,ENG,english,catholic,no,2,2,iron,2,Derby,yes,0,Derby,1861,english_channel
958,MLO,lombard,catholic,yes,6,5,grain,4,Cremona,no,0,Cremona,1862,genua
959,HAB,austrian,catholic,yes,5,5,grain,3,Graz,yes,0,Graz,1863,
960,HUN,hungarian,catholic,no,3,3,livestock,2,Kaposvár,yes,0,Somogy,1864,pest
961,FLA,flemish,catholic,no,5,5,cloth,3,Ghent,yes,0,Ghent,1865,english_channel
962,BUR,wallonian,catholic,yes,7,7,iron,3,Namur,yes,0,Namur,1866,champagne
963,SAV,swiss,catholic,yes,3,3,livestock,2,Lausanne,yes,0,Freiburg,1867,champagne
964,AUG,swabian,catholic,yes,7,6,,4,Augsburg,yes,0,Augsburg,1868,
965,SWI,swiss,catholic,yes,4,4,wool,2,Zürich,yes,0,Zurich,1869,
966,BAR,burgundian,catholic,no,3,4,cloth,3,Bar-le-Duc,yes,0,Barrois,187,champagne
967,SWI,swiss,catholic,yes,4,4,livestock,2,StGallen,yes,0,StGallen,1870,
968,SAV,swiss,catholic,yes,3,2,livestock,1,Sion,yes,0,Wallis,1871,champagne
969,ULM,swabian,catholic,yes,5,6,,4,Ulm,yes,1,Ulm,1872,
970,TTL,swiss,catholic,yes,3,3,livestock,1,Chur,yes,0,Chur,1873,
971,BRE,lower_saxon,catholic,yes,6,6,fish,4,Bremen,yes,1,Bremen,1874,
972,SAV,piedmontese,catholic,yes,4,4,grain,4,Cuneo,no,0,Turin,1875,genua
973,FRN,hessian,catholic,yes,7,7,paper,4,Frankfurt,yes,2,Frankfurt,1876,
974,BUR,burgundian,catholic,no,4,4,salt,3,Charolles,yes,0,Charolais,1877,champagne
975,AAC,hessian,catholic,yes,6,6,grain,2,Aachen,yes,0,Aachen,1878,
976,ENG,cosmopolitan_french,catholic,no,4,4,livestock,3,Alençon,yes,0,Alencon,1879,english_channel
977,LOR,burgundian,catholic,yes,6,6,glass,5,Metz,yes,1,Metz,188,champagne
978,HAB,swabian,catholic,yes,3,3,iron,3,Altkirch,yes,0,Sundgau,1880,
979,NED,arawak,animism,no,4,5,unknown,1,St,yes,0,St,1881,carribean_trade
980,TUN,berber,sunni,no,2,2,naval_supplies,1,Annaba,yes,0,Bone,1882,tunis
981,Unowned,Unowned,Unowned,no,0,0,,0,WesternFinishLakes,no,0,WesternFinishLakes,1883,
982,Unowned,Unowned,Unowned,no,0,0,,0,EastFinishLakes,no,0,EastFinishLakes,1884,
983,Unowned,Unowned,Unowned,no,0,0,,0,CentralFinishLakes,no,0,CentralFinishLakes,1885,
984,Unowned,Unowned,Unowned,no,0,0,,0,Storavan,no,0,Storavan,1886,
985,Unowned,Unowned,Unowned,no,0,0,,0,Storsjon,no,0,Storsjon,1887,
986,Unowned,Unowned,Unowned,no,0,0,,0,KaraSea,no,0,KaraSea,1888,
987,Unowned,Unowned,Unowned,no,0,0,,0,LakeGeneva,no,0,LakeGeneva,1889,
988,LOR,burgundian,catholic,yes,5,5,iron,5,Nancy,yes,0,Lothringen,189,champagne
989,Unowned,Unowned,Unowned,no,0,0,,0,Bodensee,no,0,Bodensee,1890,
990,Unowned,Unowned,Unowned,no,0,0,,0,TuzGola,no,0,TuzGola,1891,
991,Unowned,Unowned,Unowned,no,0,0,,0,LakeVan,no,0,LakeVan,1892,
992,Unowned,Unowned,Unowned,no,0,0,,0,LakeDaryacheh,no,0,LakeDaryacheh,1893,
993,Unowned,Unowned,Unowned,no,0,0,,0,SevanLake,no,0,SevanLake,1894,
994,Unowned,Unowned,Unowned,no,0,0,,0,LakeTaihu,no,0,LakeTaihu,1895,
995,Unowned,Unowned,Unowned,no,0,0,,0,LakeHongze,no,0,LakeHongze,1896,
996,Unowned,Unowned,Unowned,no,0,0,,0,Dongting,no,0,Dongting,1897,hangzhou
997,Unowned,Unowned,Unowned,no,0,0,,0,TonieSapLake,no,0,TonieSapLake,1898,
998,Unowned,Unowned,Unowned,no,0,0,,0,TanaLake,no,0,TanaLake,1899,
999,SWE,finnish,catholic,no,1,1,fur,1,Korsholm,yes,0,Osterbotten,19,baltic_sea
1000,FRA,cosmopolitan_french,catholic,no,4,4,iron,4,Moulins,yes,0,Bourbon,190,bordeaux
1001,Unowned,Unowned,Unowned,no,0,0,,0,LakeTurkana,no,0,LakeTurkana,1900,
1002,KON,kongolese,Unowned,no,2,2,copper,2,Sundi,yes,0,LakeVolta,1901,kongo
1003,Unowned,Unowned,Unowned,no,0,0,,0,LakePoopo,no,0,LakePoopo,1902,
1004,Unowned,Unowned,Unowned,no,0,0,,0,LakeChamplain,no,0,LakeChamplain,1903,
1005,Unowned,Unowned,Unowned,no,0,0,,0,LacSaintJean,no,0,LacSaintJean,1904,
1006,Unowned,Unowned,Unowned,no,0,0,,0,LacManicouagan,no,0,LacManicouagan,1905,
1007,Unowned,Unowned,Unowned,no,0,0,,0,LacMichikamau,no,0,LacMichikamau,1906,
1008,Unowned,Unowned,Unowned,no,0,0,,0,LacBienville,no,0,LacBienville,1907,
1009,Unowned,Unowned,Unowned,no,0,0,,0,LacAlEauClaire,no,0,LacAlEauClaire,1908,
1010,Unowned,Unowned,Unowned,no,0,0,,0,LacMinto,no,0,LacMinto,1909,
1011,NEV,burgundian,catholic,no,5,5,livestock,3,Nevers,yes,0,Nevers,191,champagne
1012,Unowned,Unowned,Unowned,no,0,0,,0,LaGrandeRiviere,no,0,LaGrandeRiviere,1910,
1013,Unowned,Unowned,Unowned,no,0,0,,0,LakeIsland,no,0,LakeIsland,1911,
1014,Unowned,Unowned,Unowned,no,0,0,,0,LakeReindeer,no,0,LakeReindeer,1912,
1015,Unowned,Unowned,Unowned,no,0,0,,0,WollastonLake,no,0,WollastonLake,1913,
1016,Unowned,Unowned,Unowned,no,0,0,,0,GreatSlaveLake,no,0,GreatSlaveLake,1914,
1017,Unowned,Unowned,Unowned,no,0,0,,0,LakeAthabasca,no,0,LakeAthabasca,1915,
1018,Unowned,Unowned,Unowned,no,0,0,,0,DubawniLake,no,0,DubawniLake,1916,
1019,Unowned,Unowned,Unowned,no,0,0,,0,YathkyedLake,no,0,YathkyedLake,1917,
1020,Unowned,Unowned,Unowned,no,0,0,,0,KasbaLake,no,0,KasbaLake,1918,
1021,Unowned,Unowned,Unowned,no,0,0,,0,NueltinLake,no,0,NueltinLake,1919,
1022,BUR,burgundian,catholic,no,7,7,wine,6,Dijon,yes,2,Bourgogne,192,champagne
1023,Unowned,Unowned,Unowned,no,0,0,,0,WholdaiaLake,no,0,WholdaiaLake,1920,
1024,Unowned,Unowned,Unowned,no,0,0,,0,PeterPondLake,no,0,PeterPondLake,1921,
1025,Unowned,Unowned,Unowned,no,0,0,,0,GreatSaltLake,no,0,GreatSaltLake,1922,
1026,Unowned,Unowned,Unowned,no,0,0,,0,WillistonLake,no,0,WillistonLake,1923,
1027,Unowned,Unowned,Unowned,no,0,0,,0,GreenlandTip,no,0,GreenlandTip,1924,
1028,Unowned,Unowned,Unowned,no,1,1,unknown,1,Tana,no,0,Tana,1925,african_great_lakes
1029,Unowned,Unowned,Unowned,no,0,0,,0,NorthernBalticSea,no,0,NorthernBalticSea,1926,baltic_sea
1030,Unowned,Unowned,Unowned,no,0,0,,0,EasternBalticSea,no,0,EasternBalticSea,1927,
1031,Unowned,Unowned,Unowned,no,0,0,,0,WesternAlandsSea,no,0,WesternAlandsSea,1928,
1032,Unowned,Unowned,Unowned,no,0,0,,0,WesternNorwegianSea,no,0,WesternNorwegianSea,1929,north_sea
1033,BUR,burgundian,catholic,yes,3,4,salt,3,Besançon,yes,0,Franche,193,champagne
1034,SWE,swedish,catholic,no,1,1,fish,1,Mariehamn,yes,0,Aland,1930,baltic_sea
1035,EFR,frisian,catholic,no,2,2,salt,3,Emden,yes,0,EastFrisia,1931,english_channel
1036,Unowned,Unowned,Unowned,no,0,0,,0,GulfofSatalia,no,0,GulfofSatalia,1932,
1037,NAP,neapolitan,catholic,no,3,3,wine,2,Bari,no,0,Bari,1933,venice
1038,NAP,neapolitan,catholic,no,2,2,livestock,1,Potenza,yes,0,Lucania,1934,genua
1039,LIV,latvian,catholic,no,2,2,naval_supplies,2,Mitau,no,0,Semigallia,1935,baltic_sea
1040,LIT,lithuanian,catholic,no,3,3,livestock,1,Kovno,yes,0,Kovno,1936,baltic_sea
1041,LIT,byelorussian,orthodox,no,2,2,livestock,1,Grodno,yes,0,Grodno,1937,kiev
1042,MAZ,polish,catholic,no,2,2,naval_supplies,1,Wizna,yes,0,Wizna,1938,krakow
1043,POL,polish,catholic,no,3,3,grain,1,Leczyca,yes,0,Leczyca,1939,krakow
1044,FRA,gascon,catholic,no,3,3,wine,3,Bergerac,yes,0,Bergerac,194,bordeaux
1045,MAZ,ruthenian,orthodox,no,4,3,livestock,2,Belz,yes,0,Belz,1940,krakow
1046,LIT,byelorussian,orthodox,no,1,1,wool,1,Turov,yes,0,Turov,1941,kiev
1047,LIT,ruthenian,orthodox,no,1,2,grain,1,Zhytomyr,yes,0,Zhytomyr,1942,kiev
1048,LIT,ruthenian,orthodox,no,2,3,livestock,2,Bratslav,yes,0,Bratslav,1943,kiev
1049,LIT,ruthenian,orthodox,no,1,1,livestock,1,Cherkasy,yes,0,Cherkasy,1944,kiev
1050,LIT,ryazanian,orthodox,no,1,2,iron,1,Novgorod-Seversky,yes,0,Novgorod,1945,kiev
1051,BAH,marathi,hinduism,no,3,3,naval_supplies,2,Satara,yes,0,Desh,1946,deccan
1052,VIJ,tamil,hinduism,no,3,3,cloth,2,Gingee,yes,0,Gingee,1947,comorin_cape
1053,BAH,kannada,hinduism,no,5,5,silk,3,Bidar,yes,2,Bidar,1948,deccan
1054,VIJ,telegu,hinduism,no,3,3,cotton,2,Penukonda,yes,0,Rayalaseema,1949,comorin_cape
1055,FRA,gascon,catholic,no,3,3,livestock,2,Limoges,yes,0,Limousin,195,bordeaux
1056,Unowned,Unowned,Unowned,no,0,0,,0,Meghalaya,no,0,Meghalaya,1950,
